day,year,mo,da,pickup_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_TRIPS
5,2009,03,20,2009-03-20,36.0,27.5,1022.6,13.3,11.4,20.0,21.0,39.2,26.6,0.0,999.9,0,520598
6,2009,03,21,2009-03-21,30.6,19.0,1030.9,15.0,5.4,15.9,999.9,42.8,19.4,0.0,999.9,0,501495
7,2009,03,22,2009-03-22,37.8,28.3,1025.7,14.8,7.7,16.9,18.1,48.2,27.0,0.0,999.9,0,418165
1,2009,03,23,2009-03-23,29.3,12.3,1023.2,14.1,10.0,18.1,21.0,36.0,23.0,0.0,999.9,0,419795
2,2009,03,24,2009-03-24,29.7,16.5,1024.7,15.0,14.8,26.0,35.9,41.0,17.6,0.0,999.9,0,454554
3,2009,03,25,2009-03-25,39.5,23.1,1026.9,15.0,10.9,22.0,22.9,44.6,33.8,0.0,999.9,0,470114
4,2009,03,26,2009-03-26,37.5,22.8,1021.1,14.4,4.2,11.1,999.9,55.4,23.0,0.0,999.9,0,515311
5,2009,03,27,2009-03-27,43.5,38.9,1013.0,8.4,7.7,15.0,22.0,48.2,39.2,0.35,999.9,1,514616
6,2009,03,28,2009-03-28,43.4,41.1,1017.3,5.5,5.0,12.0,999.9,51.8,37.4,0.0,999.9,1,513575
7,2009,03,29,2009-03-29,48.3,48.2,1006.8,1.3,5.9,14.0,999.9,57.2,42.8,0.04,999.9,1,428889
1,2009,03,30,2009-03-30,44.1,41.9,996.1,4.4,10.8,21.0,28.0,50.0,41.0,1.04,999.9,1,427313
2,2009,03,31,2009-03-31,44.3,33.6,1015.2,14.4,10.4,16.9,21.0,50.0,35.6,0.1,999.9,0,460734
3,2009,04,01,2009-04-01,36.2,31.5,1024.6,10.7,4.1,9.9,999.9,42.8,24.8,0.0,999.9,0,387363
4,2009,04,02,2009-04-02,50.2,48.4,1017.9,4.5,4.2,8.9,999.9,57.2,41.0,0.05,999.9,0,496103
5,2009,04,03,2009-04-03,52.9,52.5,1007.1,1.0,9.3,22.0,28.9,60.8,43.0,0.08,999.9,1,539873
6,2009,04,04,2009-04-04,51.1,43.2,992.1,10.0,14.1,21.0,27.0,59.0,44.1,0.66,999.9,1,534600
7,2009,04,05,2009-04-05,50.8,33.5,1000.9,15.0,12.1,17.1,22.9,64.4,41.0,0.0,999.9,0,441196
1,2009,04,06,2009-04-06,47.5,40.7,1003.8,10.2,7.8,18.1,24.1,57.2,33.8,1.86,999.9,0,446038
2,2009,04,07,2009-04-07,48.9,43.3,990.2,7.3,13.0,21.0,29.9,57.2,42.8,0.04,999.9,1,490453
3,2009,04,08,2009-04-08,43.1,28.8,1001.0,15.0,12.7,22.9,29.9,48.2,37.4,0.0,999.9,0,486193
4,2009,04,09,2009-04-09,46.9,32.5,1009.0,14.1,9.1,19.0,25.1,60.8,28.4,0.0,999.9,0,476452
5,2009,04,10,2009-04-10,50.5,33.7,1015.9,14.8,5.3,15.9,999.9,68.0,33.8,0.0,999.9,0,475873
6,2009,04,11,2009-04-11,44.9,43.2,1010.5,3.8,11.8,22.0,28.9,51.8,39.2,0.15,999.9,1,487794
7,2009,04,12,2009-04-12,40.2,26.3,1012.0,13.9,11.6,26.0,29.9,46.4,33.8,0.64,999.9,0,406220
1,2009,04,13,2009-04-13,41.3,18.7,1015.5,15.0,12.1,19.0,22.9,57.2,30.2,0.0,999.9,0,415069
2,2009,04,14,2009-04-14,46.5,26.8,1017.4,15.0,2.9,9.9,999.9,59.0,39.2,0.0,999.9,0,482164
3,2009,04,15,2009-04-15,46.1,32.0,1017.2,14.6,10.5,21.0,25.1,53.6,41.0,0.0,999.9,0,493538
4,2009,04,16,2009-04-16,43.7,30.2,1023.5,15.0,8.8,15.0,18.1,51.8,35.6,0.0,999.9,0,520593
5,2009,04,17,2009-04-17,47.5,29.8,1021.7,15.0,7.0,18.1,25.1,66.2,30.2,0.0,999.9,0,528685
6,2009,04,18,2009-04-18,56.6,36.1,1013.2,14.2,5.2,16.9,999.9,71.6,45.0,0.0,999.9,0,521590
7,2009,04,19,2009-04-19,49.0,42.1,1016.8,12.2,9.0,19.0,28.0,51.8,44.1,0.02,999.9,0,438845
1,2009,04,20,2009-04-20,44.1,35.2,1023.3,11.9,8.7,18.1,24.1,55.4,28.4,0.0,999.9,1,478774
2,2009,04,21,2009-04-21,54.7,52.0,1013.1,3.1,13.8,22.0,29.9,60.8,45.0,2.14,999.9,1,467425
3,2009,04,22,2009-04-22,55.9,53.2,1005.0,4.7,7.9,16.9,22.9,62.6,50.0,0.21,999.9,1,499859
4,2009,04,23,2009-04-23,51.0,42.9,1006.1,9.2,13.0,21.0,29.9,59.0,44.1,0.4,999.9,0,519185
5,2009,04,24,2009-04-24,54.6,37.6,1020.8,15.0,8.9,15.0,999.9,68.0,42.8,0.0,999.9,0,526612
6,2009,04,25,2009-04-25,59.9,49.9,1022.9,12.5,9.4,15.0,21.0,75.2,45.0,0.0,999.9,1,513397
7,2009,04,26,2009-04-26,71.7,57.0,1020.2,12.9,6.3,12.0,999.9,93.2,52.0,99.99,999.9,0,445439
1,2009,04,27,2009-04-27,59.4,47.0,1027.7,13.2,6.5,13.0,999.9,69.8,51.8,0.0,999.9,0,295156
2,2009,04,28,2009-04-28,60.6,47.6,1021.0,9.3,12.8,22.0,32.1,75.2,48.9,0.0,999.9,0,470611
3,2009,04,29,2009-04-29,50.5,32.5,1028.2,12.6,10.6,17.1,24.1,60.8,44.6,0.01,999.9,0,492792
4,2009,04,30,2009-04-30,45.0,26.8,1030.9,15.0,5.2,11.1,999.9,60.8,32.0,0.0,999.9,0,516891
5,2009,05,01,2009-05-01,52.1,48.0,1017.5,6.2,13.0,21.0,27.0,55.4,46.4,0.01,999.9,1,536561
6,2009,05,02,2009-05-02,52.7,48.3,1010.2,6.1,8.3,15.0,22.0,59.0,48.2,0.11,999.9,1,510175
7,2009,05,03,2009-05-03,48.2,41.3,1015.6,12.9,4.6,11.1,999.9,57.2,41.0,0.04,999.9,0,460670
1,2009,05,04,2009-05-04,49.9,46.8,1018.1,7.6,2.9,8.9,999.9,59.0,44.6,0.15,999.9,0,462212
2,2009,05,05,2009-05-05,50.4,48.9,1019.9,4.3,8.0,15.9,21.0,51.8,46.4,0.23,999.9,0,517761
3,2009,05,06,2009-05-06,50.4,46.9,1018.3,7.1,5.5,9.9,999.9,60.8,46.4,1.19,999.9,0,517448
4,2009,05,07,2009-05-07,57.6,56.0,1012.3,3.6,10.7,22.0,28.0,66.2,46.9,0.36,999.9,1,523584
5,2009,05,08,2009-05-08,61.9,53.5,1008.8,8.6,7.0,13.0,999.9,75.2,48.9,0.28,999.9,1,526916
6,2009,05,09,2009-05-09,58.9,56.5,1007.4,4.3,6.7,13.0,999.9,64.4,50.0,0.0,999.9,1,501340
7,2009,05,10,2009-05-10,63.1,47.6,1002.5,11.2,14.3,22.9,28.9,71.6,53.1,0.02,999.9,0,422874
1,2009,05,11,2009-05-11,53.6,36.3,1015.5,15.0,7.4,14.0,20.0,60.8,44.6,0.0,999.9,0,435149
2,2009,05,12,2009-05-12,53.4,44.1,1019.2,12.0,3.0,6.0,999.9,62.6,44.6,0.05,999.9,0,472472
3,2009,05,13,2009-05-13,52.9,40.8,1028.6,13.9,4.1,12.0,14.0,64.4,35.6,99.99,999.9,0,502828
4,2009,05,14,2009-05-14,57.3,48.3,1029.6,14.4,10.1,18.1,27.0,62.6,48.9,0.0,999.9,0,532276
5,2009,05,15,2009-05-15,60.8,56.5,1024.9,6.7,11.1,15.9,22.9,69.8,53.1,0.21,999.9,1,534863
6,2009,05,16,2009-05-16,60.6,55.2,1021.2,9.2,5.5,11.1,999.9,71.6,50.0,0.1,999.9,1,526549
7,2009,05,17,2009-05-17,62.6,58.6,1013.5,5.4,9.6,19.0,28.9,68.0,55.0,0.01,999.9,1,456758
1,2009,05,18,2009-05-18,49.6,39.6,1021.4,10.5,7.6,13.0,19.0,57.2,46.4,0.02,999.9,0,467644
2,2009,05,19,2009-05-19,49.9,38.2,1028.0,15.0,3.8,13.0,999.9,62.6,39.2,0.03,999.9,0,493114
3,2009,05,20,2009-05-20,61.4,45.7,1027.3,15.0,8.1,12.0,999.9,78.8,48.9,0.0,999.9,0,504060
4,2009,05,21,2009-05-21,66.2,45.7,1024.0,15.0,13.0,21.0,28.0,78.8,52.0,0.0,999.9,0,517297
5,2009,05,22,2009-05-22,66.3,52.7,1019.3,14.8,12.3,16.9,19.0,78.8,54.0,0.0,999.9,0,495935
6,2009,05,23,2009-05-23,60.6,50.8,1021.6,11.3,6.8,14.0,999.9,64.4,53.6,0.01,999.9,0,403710
7,2009,05,24,2009-05-24,60.8,57.2,1016.8,5.7,7.3,14.0,999.9,73.4,51.1,0.0,999.9,1,349228
1,2009,05,25,2009-05-25,66.9,53.2,1014.1,8.0,5.4,8.9,999.9,75.2,55.9,0.0,999.9,1,264652
2,2009,05,26,2009-05-26,54.4,37.0,1024.1,15.0,9.4,17.1,24.1,62.6,48.9,0.0,999.9,0,444461
3,2009,05,27,2009-05-27,52.0,46.3,1020.6,9.1,5.3,12.0,999.9,55.4,48.2,0.08,999.9,1,479870
4,2009,05,28,2009-05-28,52.5,49.9,1014.0,6.1,8.9,13.0,999.9,57.2,50.0,0.0,999.9,1,519001
5,2009,05,29,2009-05-29,57.2,56.5,1008.1,3.0,4.5,8.9,999.9,66.2,51.1,0.16,999.9,1,523947
6,2009,05,30,2009-05-30,66.4,60.1,1003.8,7.1,6.3,14.0,19.0,80.6,59.0,0.0,999.9,1,483608
7,2009,05,31,2009-05-31,64.7,54.7,1006.8,13.1,7.5,18.1,26.0,77.0,50.0,99.99,999.9,1,409350
1,2009,06,01,2009-06-01,55.7,37.5,1015.8,13.4,10.1,19.0,25.1,62.6,42.8,0.0,999.9,0,363700
2,2009,06,02,2009-06-02,62.1,54.7,1014.7,14.4,8.5,13.0,999.9,73.4,55.0,0.01,999.9,1,471230
3,2009,06,03,2009-06-03,61.6,53.9,1014.7,10.3,4.3,15.0,999.9,66.2,55.0,0.01,999.9,0,505927
4,2009,06,04,2009-06-04,59.9,56.0,1015.3,9.3,4.8,7.0,999.9,66.2,53.1,0.38,999.9,0,521528
5,2009,06,05,2009-06-05,58.0,55.5,1015.0,6.3,5.2,9.9,999.9,62.6,52.0,0.05,999.9,0,551777
6,2009,06,06,2009-06-06,58.2,55.4,1011.8,6.2,9.0,15.9,999.9,69.8,53.1,0.59,999.9,0,461816
7,2009,06,07,2009-06-07,67.6,55.2,1014.2,9.2,8.4,14.0,999.9,80.6,53.1,0.0,999.9,1,419990
1,2009,06,08,2009-06-08,64.2,52.5,1015.3,12.9,4.9,9.9,999.9,69.8,59.0,0.02,999.9,0,384249
2,2009,06,09,2009-06-09,57.5,51.5,1015.6,10.0,5.4,12.0,14.0,62.6,53.1,0.0,999.9,0,481738
3,2009,06,10,2009-06-10,59.7,56.7,1014.5,6.5,5.8,8.9,999.9,64.4,54.0,0.27,999.9,1,509970
4,2009,06,11,2009-06-11,59.2,56.3,1014.6,10.7,6.4,9.9,999.9,64.4,55.0,0.0,999.9,0,527386
5,2009,06,12,2009-06-12,66.6,65.3,1008.0,3.2,6.7,14.0,999.9,71.6,57.0,0.24,999.9,1,530227
6,2009,06,13,2009-06-13,67.1,61.0,1011.6,10.3,4.6,12.0,999.9,75.2,57.0,0.02,999.9,1,485592
7,2009,06,14,2009-06-14,62.4,57.9,1014.6,12.0,5.6,8.9,999.9,69.8,54.0,0.04,999.9,0,398991
1,2009,06,15,2009-06-15,59.1,54.2,1017.6,12.2,5.8,9.9,999.9,66.2,53.6,0.01,999.9,0,435323
2,2009,06,16,2009-06-16,57.2,52.2,1022.4,8.9,7.8,15.0,17.1,62.6,53.6,0.0,999.9,0,476872
3,2009,06,17,2009-06-17,58.7,47.7,1024.4,13.9,3.3,8.0,999.9,71.6,41.0,0.0,999.9,0,506129
4,2009,06,18,2009-06-18,62.3,53.3,1019.6,14.8,5.3,14.0,19.0,71.6,50.0,0.01,999.9,0,534044
5,2009,06,19,2009-06-19,68.2,65.3,1009.9,5.9,9.3,15.9,19.0,73.4,60.1,0.39,999.9,0,520706
6,2009,06,20,2009-06-20,68.4,63.8,1004.3,10.7,3.6,8.9,999.9,77.0,60.8,0.15,999.9,1,490010
7,2009,06,21,2009-06-21,62.2,60.6,999.2,4.7,10.6,18.1,26.0,66.2,57.9,0.0,999.9,1,403789
1,2009,06,22,2009-06-22,59.2,58.5,999.5,1.8,17.7,27.0,32.1,60.8,57.0,0.27,999.9,0,417818
2,2009,06,23,2009-06-23,60.1,59.1,1003.2,2.1,17.4,26.0,29.9,62.6,57.0,0.6,999.9,0,471939
3,2009,06,24,2009-06-24,61.1,58.8,1006.9,5.1,5.6,13.0,19.0,68.0,55.4,0.21,999.9,1,497137
4,2009,06,25,2009-06-25,65.5,62.0,1008.6,7.6,3.4,8.0,999.9,73.4,59.0,0.0,999.9,1,516361
5,2009,06,26,2009-06-26,68.8,65.0,1006.0,8.6,7.5,13.0,999.9,80.6,59.0,0.03,999.9,0,522070
6,2009,06,27,2009-06-27,71.6,66.0,1005.0,10.3,5.3,9.9,999.9,82.4,60.1,0.19,999.9,0,472617
7,2009,06,28,2009-06-28,65.9,63.3,1003.5,5.0,6.5,11.1,999.9,73.4,61.0,0.0,999.9,1,413174
1,2009,06,29,2009-06-29,66.6,63.6,998.0,4.4,5.8,14.0,999.9,75.2,60.1,0.19,999.9,0,431104
2,2009,06,30,2009-06-30,67.4,63.5,1001.9,5.4,3.3,7.0,999.9,75.2,59.0,0.09,999.9,1,461035
3,2009,07,01,2009-07-01,66.9,63.7,1007.7,7.1,5.6,11.1,19.0,75.2,59.0,0.0,999.9,1,397418
4,2009,07,02,2009-07-02,67.6,66.1,1009.3,4.5,5.7,14.0,18.1,73.4,62.1,0.83,999.9,1,459217
5,2009,07,03,2009-07-03,71.8,67.6,1008.9,4.4,6.0,13.0,999.9,82.4,62.1,1.17,999.9,1,361917
6,2009,07,04,2009-07-04,71.7,64.6,1007.3,9.6,8.7,15.9,19.0,80.6,61.0,0.0,999.9,1,302128
7,2009,07,05,2009-07-05,69.2,55.7,1008.4,15.0,9.6,16.9,22.0,77.0,60.8,0.0,999.9,0,295276
1,2009,07,06,2009-07-06,70.0,59.4,1008.0,14.8,3.8,9.9,999.9,78.8,59.0,0.0,999.9,0,359351
2,2009,07,07,2009-07-07,66.0,61.9,1008.6,7.1,5.2,12.0,18.1,73.4,57.9,0.39,999.9,1,418571
3,2009,07,08,2009-07-08,64.3,60.6,1010.5,8.6,7.0,11.1,999.9,71.6,59.0,1.36,999.9,0,450549
4,2009,07,09,2009-07-09,61.8,55.1,1020.3,11.5,9.4,14.0,19.0,66.2,57.2,0.0,999.9,0,487036
5,2009,07,10,2009-07-10,61.0,51.0,1025.3,14.8,3.6,8.0,999.9,73.4,46.4,0.0,999.9,0,481219
6,2009,07,11,2009-07-11,63.0,51.9,1022.4,14.1,4.9,11.1,999.9,71.6,48.0,0.0,999.9,0,442918
7,2009,07,12,2009-07-12,67.8,63.3,1012.9,8.7,7.9,12.0,17.1,75.2,62.6,1.23,999.9,0,378248
1,2009,07,13,2009-07-13,67.0,52.9,1010.9,13.6,7.9,17.1,21.0,75.2,57.2,0.0,999.9,0,397304
2,2009,07,14,2009-07-14,68.1,53.4,1014.4,15.0,6.2,15.9,999.9,77.0,57.2,0.0,999.9,0,452898
3,2009,07,15,2009-07-15,68.4,54.0,1017.2,15.0,7.9,18.1,22.9,77.0,55.4,0.0,999.9,0,485261
4,2009,07,16,2009-07-16,71.0,64.0,1012.8,13.8,10.6,20.0,28.0,78.8,64.0,0.0,999.9,0,499082
5,2009,07,17,2009-07-17,75.5,66.9,1009.5,7.3,6.9,13.0,999.9,84.2,68.0,0.0,999.9,1,516428
6,2009,07,18,2009-07-18,74.7,71.2,1007.8,4.4,8.4,14.0,18.1,80.6,70.0,0.78,999.9,1,438883
7,2009,07,19,2009-07-19,71.5,62.3,1014.9,12.6,6.8,15.9,20.0,78.8,64.4,0.0,999.9,1,391429
1,2009,07,20,2009-07-20,70.2,61.8,1021.4,13.8,3.4,7.0,999.9,78.8,62.6,0.0,999.9,0,410911
2,2009,07,21,2009-07-21,68.6,65.7,1021.5,5.3,6.3,12.0,999.9,71.6,64.4,0.23,999.9,1,477807
3,2009,07,22,2009-07-22,72.7,68.2,1020.1,9.4,6.4,11.1,999.9,77.0,68.0,0.21,999.9,1,486132
4,2009,07,23,2009-07-23,67.2,63.9,1018.9,8.8,4.1,8.9,999.9,75.2,60.8,0.0,999.9,1,502592
5,2009,07,24,2009-07-24,66.0,62.4,1008.2,6.4,10.3,21.0,28.9,68.0,62.1,1.45,999.9,0,489946
6,2009,07,25,2009-07-25,70.4,63.0,1013.6,12.7,6.6,13.0,999.9,80.6,62.6,0.0,999.9,0,449643
7,2009,07,26,2009-07-26,72.9,70.0,1014.5,3.5,8.3,14.0,19.0,80.6,66.2,0.0,999.9,1,410245
1,2009,07,27,2009-07-27,74.8,69.6,1014.0,6.5,11.2,19.0,24.1,78.8,69.8,0.0,999.9,1,421588
2,2009,07,28,2009-07-28,73.5,68.1,1014.1,6.4,7.3,13.0,999.9,82.4,68.0,0.0,999.9,1,469610
3,2009,07,29,2009-07-29,74.5,71.3,1012.9,4.7,8.9,12.0,999.9,80.6,66.9,99.99,999.9,1,489150
